year,event
1901,"As President William McKinley began his second term, he was fatally shot by anarchist Leon Czolgosz. Czolgosz stated that the President was ""an enemy of good working people"" and was later judged to be sane and executed. The chief event of McKinley's administration was the war with Spain, which resulted in the United States' acquisition of the Philippines and other islands. Theodore Roosevelt was promptly sworn in as his successor and embarked on a wide-ranging program of governmental reform and conservation of natural resources."
1901,"On April 28th, Cleveland Indians rookie pitcher Charles Baker surrendered an American League record twenty-three singles in a 13-1 loss to the Chicago White Sox."
1901,"In May, White Stockings Herm McFarland and Dummy Hoy set one of the first American League records (most homeruns in a game) with two grand slams during Chicago's 19-9 win over the Detroit Tigers. Detroit also set a Major League mark of their own with twelve errors (ten by the infield) that was amazingly matched by the White Sox in 1903 — against the Tigers."
1901,"With two outs in the ninth, Milwaukee Brewers pitcher Bill Reidy set a Major League record after surrendering ten consecutive hits for a 13-2 loss to the Boston Somersets on June 2nd."
1901,Cincinnati Reds ace Noodles Hahn struck out sixteen Boston Brave batters on May 22nd for a 4-3 victory and a record that would stand until Jim Maloney matched it in 1963.
1901,"On June 20th, Honus Wagner became the first twentieth century player to steal home twice in a single game, as the Pittsburgh Pirates blanked the New York Giants, 7-0."
1901,"The Brooklyn Dodgers tied their highest score of the previous century (May 20, 1896) after beating the Cincinnati Reds 25-6 in a September 23rd outing at League Park II."
1901,"The American League formally organized with the Baltimore Orioles, Philadelphia Athletics, Boston Somersets, Washington Nationals, Cleveland Blues, Detroit Tigers, Milwaukee Brewers, and Chicago White Sox. Three of the leagues original clubs in Indianapolis, Minneapolis, and Buffalo were dropped. The player limit was set at fourteen per team, and the inaugural schedule was set at one-hundred forty games."
1901,"The National League Rules Committee decreed that all foul balls are to count as strikes, except after two, catchers must play within ten feet of the batter, a ball will be called if the pitcher does not throw to a ready and waiting batter within twenty seconds, and that the umpire will remove all players using indecent language."
1901,"At the December league meeting, the Milwaukee Brewers franchise was officially dropped from the American League and replaced by the St. Louis Browns."
1901,"""Second baseman Napoleon Lajoie was one of the most graceful performers of his or any era."" - National Baseball Hall of Fame"
1901,"On April 24, 1901, the Chicago White Sox beat the Cleveland Blues 8-2 in the first ever ""official"" American League game."
1901,"The Washington Senators played their home opener in Washington D.C. on April 29, 1901. One of the prominent fans who attended was Admiral George Dewey who observed the Senators defeat the Orioles 5-2."
1901,"Did you know that Nap Lajoie of Philadelphia was intentionally walked with the bases loaded on May 23, 1901? This was the first such instance in American League history, and an amazing record that few players in Major League history have ever even tied!"
1902,"The National Bureau of the Census was established and later became part of the Department of Commerce, a federal executive department that was charged with promoting U.S. economic development and technological advancement. Among its tasks was the taking of censuses, promotion of American business at home and abroad, establishing standard weights and measures, and issuing patents and registering trademarks."
1902,"The Milwaukee Brewers moved before the 1902 season started and became the St. Louis Browns, where they would play until 1953. In 1954, the franchise moved and became the modern-day Baltimore Orioles."
1902,"In July, the Baltimore Orioles were forced to forfeit a game to St. Louis and their team to the league. With only five players available for the line-up, the American League's front office borrowed back-up players from several other teams and maintained the franchise for the remainder of the season."
1902,"The Cincinnati Reds thrashed the Philadelphia Phillies 24-2 on May 13, 1902, with each of the nine starters collecting 2-or-more hits."
1902,"Pittsburgh Pirate Honus Wagner committed ""Grand Larceny"" after stealing second, third and home during the second game of an August 13th doubleheader against the Boston Braves. Amazingly, it wasn't the first time as Wagner had originally accomplished the feat in 1899."
1902,"The 1902 Major League Baseball season began on April 17, and concluded on October 5. Each team played the other seven teams in their league twenty times, for a 140-game season."
1902,"Former editor of the Louisville Commercial, Harry Pulliam was elected as the President of the National League. His reputation for honesty and businesslike approach to baseball helped forge a peace between the American and National Leagues that resulted in the ""National Agreement"" that governed baseball through 1920. In February of 1909 Pulliam began showing signs of mental illness and eventually suffered a nervous breakdown. Later that year he committed suicide by shooting himself in his room at the New York Athletic Club."
1902,"""A good umpire is the umpire you don't even notice."" - Ban Johnson"
1902,"Future hall of famer Addie Joss of Cleveland made his Major League debut on April 26, 1902, and one-hit the St. Louis Browns."
1902,"Did you know that the Cleveland Blues, on June 30, 1902, became the first American League team to hit three consecutive home runs during the same inning? The history-making players were Nap Lajoie, Piano Legs Hickman and Bill Bradley."
1902,"On August 25, 1902, the American League announced a team would play in New York City by 1903. On December 9, 1902, property was purchased and the New York Highlanders were nearly on the field."
1903,"Automobile pioneer Henry Ford organized the Ford Motor Company. By cutting the costs of production and by adapting the conveyor belt and assembly line to automobile production, Ford was soon able to outdistance all his competitors to become the largest car manufacturer in the world. In 1908 he designed the infamous ""Model T"" and nearly seventeen million cars were produced worldwide before the model was discontinued in 1928. Later a new design called the ""Model A"" was created to meet growing competition."
1903,"On May 6th, the Chicago White Sox committed twelve errors, and the Detroit Tigers answered back with six of their own. The combined ""18-E debacle"" set a modern Major League record for the most errors (by two teams) in a single game."
1903,"Buck Freeman of the Boston Americans (Red Sox), completed a cycle on June 21, 1903, the first in franchise history. Just over a month later, Pat Dougherty, also with Boston, hit for the cycle as well. The Boston Americans became the second American League team with two cycles in the same season, joining the Philadelphia Athletics (1901)."
1903,"At a post-season American League meeting, Ban Johnson was unanimously re-elected president and given a raise of $10,000. The American League owners also voted to allow base-running coaches at first and third at all times and to institute the ""foul strike"" rule in which a foul would be counted as a strike unless there are already two on the batter."
1903,"Fred Clarke hit for the cycle on May 7, 1903. Two years earlier, on July 23, 1901, Clarke had completed his first career cycle making him the first twentieth century player to hit for the cycle twice, and the first Pirate to ever complete two cycles in Pittsburgh."
1903,"Cincinnati Reds shortstop Tommy Corcoran set a Major League record after totaling fourteen assists in a 4-2 regulation win over the St. Louis Cardinals, on August 7, 1903. Lave Cross, of the Philadelphia Athletics, had originally racked up fifteen assists during a twelve-inning game in 1897."
1903,The National League-leading Pittsburgh Pirates set an uncharacteristic National League mark for inept fielding after making six errors in the first inning of a 13-7 New York Giants victory on August 20th.
1903,"In Cincinnati, peace talks between both rival leagues continued as the Nationals proposed a consolidated twelve team league, which the Americans promptly rejected. Eventually an agreement was reached to coexist peacefully with the American League promising to stay out of Pittsburgh."
1903,Baseball rules committee chairman Tom Loftus announced that the pitcher's box would not be more than fifteen inches higher than the baselines or home plate.
1903,"The inaugural World Series of 1903 was a resounding success and represented the first step in healing the bruised egos of both the veteran National and fledgling American Leagues. Pittsburgh and Boston went head-to-head for eight games proving that great baseball between the two leagues was possible and that a merger would benefit the growth of the sport. Unfortunately, some owners still disagreed with the concept and in 1904 it was prematurely cancelled."
1903,"""(Nap Lajoie) wasn't what I would call a good manager. 'Bout all he'd say was, 'Let's go out and get those so-and-so's today.' He knew he could do his share, but it didn't help the younger fellows much."" - George Stovall"
1903,"On April 30, 1903, the New York Highlanders played their first game at Hilltop Park and defeated the Washington Senators 6-2. In 1913, the franchise would rename itself the New York Yankees."
1903,"Jesse Stovall, on September 3, 1903, defeated the Detroit Tigers 1-0 in an eleven inning contest — the longest complete game shutout ever thrown by a rookie pitcher (at that point) in baseball history."
1903,"The Boston Americans captured the American League pennant when they beat Cleveland 14-3, on September 17, 1903. They advanced to the first modern World Series in history — do you remember who won?"
1904,"The first section of the New York Subway system was opened between City Hall and 145th Street. The original system consisted of twenty-eight stations along 9.1 miles of track with the IRT extending to the Bronx in 1905, Brooklyn in 1908 and Queens in 1915. Since then, it has expanded to over two-hundred thirty miles of routes and over four-hundred miles of single track."
1904,"On May 11th, Sam Crawford of the Detroit Tigers broke Boston Red Sox ace Cy Young's consecutive streak of no-hit innings at 24 1/3 (seventy-six batters without a hit) after managing a one-out single en route to a 1-0 victory."
1904,"The St. Louis Browns and Detroit Tigers played a doubleheader on September 8, 1904, another doubleheader on the 9th, a third doubleheader on the 10th, then a fourth doubleheader on the 11th! After ""only"" one game on the 12th, they faced off for a final doubleheader on the 13th, setting a record for the most games played consecutively (11) between two teams in Major League Baseball history."
1904,"After pitching a record setting season with forty-one wins and four-hundred fifty-four innings in fifty-five games, New York Highlanders (Yankees) ace Jack Chesbro ""crashed and burned"" after losing control of a spitball that sailed over his catcher's head and allowed the American League pennant losing run to score from third."
1904,New York Giants' Dan McGann stole five bases on May 27th during 3-1 win over the cross-town rival Brooklyn Dodgers. The record stood for seventy years until Davey Lopes of the Los Angeles Dodgers matched the mark in August of 1974. Atlanta Braves outfielder Otis Nixon eventually topped the feat with six steals (against the Montreal Expos) in 1991.
1904,"Frank Chance of the Chicago Cubs set a painful Major League mark after being hit four times in one day during a May 30th double header against the Cincinnati Reds. In the first game, ""The Peerless Leader "" actually lost consciousness after being tagged in the head by Jack Harper."
1904,"In October, St. Louis Cardinals pitcher Jack Taylor tossed his thirty-ninth consecutive complete game of the season setting a modern Major League record. The streak started on April 15th and finished with an astounding three-hundred fifty-two innings pitched."
1904,"John T. Brush, president of the National League champion New York Giants, refused to play the returning American League champion Boston Americans. He was quoted as stating that he refused to compete with a ""representative of the inferior American League"". Surprisingly, Brush regretted the decision and later that year proposed to continue with the series as originally conceived. His about-face spawned the ""Brush Rules,"" a set of guidelines relating to the on-field play and off-field finances of the World Series, which exists to this day."
1904,"""Jack Chesbro was an early spitball ace whose 1904 performance with the New York Highlanders still rates five stars. He started 51 games, completed 48 and was the victor in 41 while hurling 454 innings."" - National Baseball Hall of Fame"
1904,"On July 14, 1904, Jack Chesbro of the New York Highlanders won his fourteenth consecutive game (a record at the time). By August 10th, he pitched thirty consecutive complete games and he finished the season with forty-eight complete games in fifty-one starts."
1904,"Wee Willie Keeler, on August 24, 1904, hit two home runs against the St. Louis Browns and both never left the park. [Inside The Park Home Run Records]"
1904,"Did you know that George Stovall, on October 7, 1904, hit a home run off his brother, right-handed pitcher Jesse Stovall? That particular feat was a Major League Baseball history and an event that remained unduplicated until the Ferrells in 1933 then the Niekros in 1976."
1905,"The ""Industrial Workers of the World"" (IWW) was founded in Chicago with the hopes of giving more control to unions. The aim of the IWW was to unite in one body all skilled and unskilled workers for the purpose of overthrowing capitalism by using direct action, propaganda, the boycott, and the strike. The IWW was also opposed the use of sabotage, arbitration, collective bargaining, and political affiliation. Unfortunately, recurring controversy during both World Wars along with accusations of treason caused dissention in the ranks from the top-down. From a probable strength of at least 30,000 in 1912, the membership later fell to less than 10,000 in 1930 and in the mid-1990s remained at less than 1,000."
1905,"A committee of Washington writers voted for ""Nationals"" as the new American League team nickname, but the ""Senators"" continued as the majority fan favorite."
1905,"New York Highlanders first baseman Hal Chase set a Major League record on August 5th with thirty-eight putouts during a doubleheader sweep (3-1, 6-5) versus the visiting St. Louis Browns."
1905,"On April 26th, Chicago Cubs outfielder Jack McCarthy tied a Major League record after starting three double plays to preserve a 2-1 victory over the Pittsburgh Pirates. Jackson Nelson had originally set the DP record in 1887."
1905,"Brooklyn Dodgers shortstop Phil Lewis earned his paycheck and tied a National League record on July 20th, after having eighteen chances for seven assists, six putouts and five errors en route to a 2-1 win over the Cincinnati Reds."
1905,Pittsburgh Pirates catcher Dave Brain became the first player in National League history to hit three triples in a single game — twice in one season (vs. St. Louis and vs. Boston).
1905,"Boston Braves first baseman Fred Tenney completed the season with a National League record one-hundred fifty-two assists. The mark stood until 1986, when Sid Bream of the Pittsburgh Pirates topped it with one-hundred sixty-six."
1905,"New York Giants owner John T. Brush, who refused to play the American League pennant winners in 1904, proposed a new set of rules governing future World Series. Later known as the ""Brush Rules,"" these guidelines relating to the on-field play and off-field finances of the Series are still used to this day."
1905,"The National League Board of Directors acquitted St. Louis Cardinal right-hander Jack Taylor on the charges of throwing games. Despite the verdict, Taylor was still fined $300 for using poor judgment and practicing bad conduct."
1905,"On May 30th, both leagues posted record attendance figures for the Memorial Day holiday. Due to several doubleheaders, 80,963 attended eight American League games and 67,806 witnessed seven National League events."
1905,"""A tremendous clutch-hurler, Chief Bender was usually Connie Mack's choice for the game he had to win."" - National Baseball Hall of Fame"
1905,"On May 30, 1905, single day attendance records were smashed when 80,963 fans attended the eight American League matchups."
1905,"On August 30, 1905, Ty Cobb made his Major League debut. His first hit was a double off Jack Chesbro and Detroit defeated New York 5-3."
1905,"On October 5, 1905, Chief Bender had a doubleheader dream. The Athletics pitcher started one game, appeared on the mound in two games, won both games, AND finished with six hits and eight runs batted in at the plate."
1906,"More than five-hundred people were killed during the great San Francisco earthquake, which struck the ""City by the Bay"" on the morning of April 18 at 5:15 AM. Modern analysis estimated the tremors to register at an 8.25 on the Richter scale (By comparison, the quake that hit San Francisco on October 17, 1989 registered 6.7). The greatest destruction came from the fires that were ignited and the ensuing inferno ravaged the city for three days before burning out. In the end, the maelstrom destroyed four-hundred ninety city blocks, a total of 25,000 buildings and rendered over 250,000 residents homeless. Damage estimates topped $350,000,000."
1906,"The New York ban on Sunday baseball was temporarily lifted on April 29th as the Highlanders and Philadelphia Athletics played a benefit game for the victims of the San Francisco earthquake, raising $5,600."
1906,"St. Louis Browns first baseman Tom Jones recorded an American League record twenty-two putouts on May 11th against the Boston Red Sox. New York Highlander Hal Chase tied the record four months later (September 21), but would not be matched himself until Yankee captain Don Mattingly duplicated the effort during a 7-1 win over the Minnesota Twins on July 20, 1987."
1906,"In August, the Boston Americans set an unwanted Major League record after suffering four straight shutout losses (0-3 on August 2; 0-4 on August 3; 0-1 on August 4 and 0-4 on August 6)."
1906,"On April 12th, Boston Braves outfielder Johnny Bates became the first modern player to hit a home run in his first Major League at bat. The inaugural round tripper came courtesy of Dodger Harry McIntire who lost twenty games or more in three seasons with Brooklyn's miserable turn-of-the-century teams."
1906,"New York Giants pitcher Hooks Wilste became the first pitcher of the modern era to strike out four batters in a single inning (after a third-strike error) en route to a twelve-K, 4-1 victory over the Cincinnati Reds. He also fanned the side in the fourth inning for a total of seven batters struck out in just two innings for the first and only time in Major League history."
1906,"On October 4th, the Cubs recorded their one-hundred sixteenth victory of the year. The 4-0 win over the Pittsburgh Pirates gave Chicago a 60-15-road record with a .800 percentage mark that has never been equaled. They also became the first team to finish with fewer than two-hundred errors and their pitching staff combined for a league-leading 1.76 ERA."
1906,"In an effort to curb accusations and/or suspicions of tampering, a new rule was set putting the umpire in sole charge of all game balls. (The home team manager previously had some say as to when a new ball was introduced)."
1906,"Harry Pulliam was unanimously re-elected president of the National League with an increased salary of $10,000. The American League increased Ban Johnson's salary to $15,000 for the remaining four years of his contract."
1906,"Hank O'Day, a National League umpire unsuccessfully proposed that the batter's box be outlined with white rubber strips (rather than chalk) to prevent batters from erasing them with their spikes."
1906,"""An aggressive, confident and cocky second baseman, he (Eddie Collins) was also an outstanding baserunner."" - National Baseball Hall of Fame"
1906,"Tom Hughes, of the Washington Senators, hit a game-winning home run in the tenth inning on August 3, 1906, and became the first pitcher in major league history to win an extra inning game with his own long ball!"
1906,"On August 30, 1906, Slow Joe Doyle of the New York Highlanders shutout Washington 5-0 in his second start. He finished his Major League career with twenty-three wins and will always be remembered as the first pitcher to toss two consecutive shutouts during his two first starts."
1906,"Did you know that future hall of famer Eddie Collins made his Major League debut on September 17, 1906, and had one hit off Ed Walsh? Too easy? Did you know that Collins played that game under the last name Sullivan to preserve his college eligibility at Columbia University?"
1907,"In November, Oklahoma became the forty-sixth state admitted to the union. Originally set aside as Indian Territory in 1834, the region was later divided into both the Indian Territory and Oklahoma Territory in 1890. Known primarily as an oil rich state, Oklahoma's vast plains produce bumper yields of wheat, as well as large crops of hay, cotton, and peanuts. Livestock products also contribute more than half of Oklahoma's annual farm receipts."
1907,"Popular Boston Americans outfielder / manager Chick Stahl committed suicide while traveling with the team in West Baden Springs, Indiana. A note left behind stated: ""Boys, I just couldn't help it. You drove me to it."" Cy Young reluctantly agreed to start the season as an interim replacement manager and was followed by two other skippers during the year, George Huff and Bob Unglaub."
1907,"Chicago White Sox pitcher Ed Walsh tallied eleven assists and two putouts during a 1-0 win over the St. Louis Browns on April 19, 1907. His total of thirteen chances tied the franchise mark set by Nick Altrock during the 1904 season — which is also the Major League record for most chances in a 9-inning game by a pitcher!"
1907,"On June 28th, the last place Washington Nationals stole a Major League record thirteen bases off of injured New York Yankees catcher Branch Rickey. An injury to starter Red Kleinow forced Rickey into premature service and he was unable to throw accurately to his baseman."
1907,"A riot broke out during a July 8th, Chicago Cubs - Brooklyn Dodgers game after Cubs manager Frank Chance, who was being pelted with empty bottles, threw one back into the crowd hitting a young boy. After losing 5-0, the angry New York crowd rushed from the stands forcing Chance to escape Washington Park III in an armored car with a police escort."
1907,"At the West Side Grounds on September 14th, the Chicago Cubs and Cincinnati Reds collected twenty-nine combined hits, ALL of which were singles."
1907,"On May 8th, Philadelphia Phillies rookie George McQuillan made his Major League debut in relief of starter Tully Sparks and McQuillan did not allow any runs to score during his brief debut. On September 22nd, he tossed a six-inning, 2-0 win over the St. Louis Cardinals in his first start. The relief and end of season appearance started a record string of twenty-five consecutive shutout innings at the beginning of his Major League career. McQuillan went on to finish the season 4-0 (with three shut outs), and went on to win twenty-three games the following season."
1907,"The Cleveland Indians became the first team to institute team wide insurance policies after taking out $100,000 of coverage to insure its players against possible injury in railroad accidents."
1907,"Cincinnati Reds' manager Ned Hanlon, one of the originals whose managing days began in 1889 at Pittsburgh, announced his retirement ending a career that boasted five Major League pennants (four Baltimore, one Brooklyn)."
1907,"The Washington Post (incorrectly) reported that St. Louis Browns shortstop Bobby Wallace was the highest paid major league player with a yearly salary of $6,500."
1907,"""Boys, I just couldn't help it. It (drugs) drove me to it."" - Chick Stahl (Last spoken words & news at the time said he and his wife were drug addicts - source: The Cultural Encyclopedia of Baseball)"
1907,Weird ballpark stories? How about the flagpole breaking on the 14th of May as the White Sox were raising their 1906 pennant in South Side Park.
1907,"On August 2, 1907, future hall of famer Walter Johnson made his major league debut and lost 3-2. The first hit off the future 300 Wins Club member was by Ty Cobb — a bunt single!"
1907,"Since we mentioned The Georgia Peach; did you know that Cobb finished the 1907 season with a league leading .350 batting average, and would go on to win eleven more batting titles across his storied career? [Batting Champion Records]"
1908,"President Theodore Roosevelt held the ""White House Conservation Conference"", which later led to the establishment of the National Conservation Commission. The main purpose of the Commission was to implement new regulations for conserving the earth's natural resources by protecting its capacity for self-renewal. Particularly complex were the problems of nonrenewable energy resources such as oil and coal and other minerals that are still in great demand today."
1908,"On April 14th, Boston played their first game under the new nickname, the ""Red Sox"" and christened it with a 3-1 win over the Washington Senators at the Huntington Avenue Baseball Grounds."
1908,The Detroit Tigers set a unique Major League record on June 7th after turning a triple play against the Boston Red Sox for the second day in a row.
1908,"Bob Rhoads, of the Cleveland Naps, tossed a no-hitter on September 18, 1908, against the newly named BoSox. Cleveland wins 2-to-1."
1908,"In March, Honus Wagner announced his retirement from the Pittsburgh Pirates at the age of thirty-four. Despite the intention, he went on to play in one-hundred fifty-one games (more than in any of the past ten years) and led the league in hitting (for the sixth time), hits, total bases, doubles, triples, RBIs, and stolen bases."
